room_type_n,neighbourhood_group_n,minimum_nights,availability_365,calculated_host_listings_count,price
0.5,0.0,0.004008016032064127,0.33424657534246577,0.0,225
0.5,0.25,0.018036072144288578,0.052054794520547946,0.0,149
0.0,0.25,0.0,0.0,0.0,80
0.0,0.0,0.040080160320641274,0.0,0.0,74
0.5,0.0,0.0060120240480961915,0.136986301369863,0.0,110
0.0,0.5,0.004008016032064127,0.1315068493150685,0.0,60
0.0,0.0,0.004008016032064127,0.15342465753424658,0.003067484662576687,95
0.5,0.25,0.0,0.5315068493150685,0.0,499
0.0,0.0,0.002004008016032064,0.1178082191780822,0.006134969325153375,175
0.5,0.0,0.038076152304609215,0.5780821917808219,0.0,70
0.0,1.0,0.0,0.9917808219178083,0.0,90
0.5,0.0,0.0,0.0,0.0,200
0.5,0.25,0.058116232464929855,0.852054794520548,0.05828220858895705,130
0.0,0.0,0.0,0.1780821917808219,0.0,80
0.5,0.25,0.010020040080160319,1.0,0.0,340
0.0,0.25,0.002004008016032064,0.5068493150684932,0.0,149
0.0,0.25,0.018036072144288578,0.0,0.0,40
0.0,1.0,0.002004008016032064,0.0958904109589041,0.0,90
0.5,0.0,0.0,0.0,0.0,100
0.5,0.25,0.004008016032064127,0.4904109589041096,0.0,399
0.5,0.5,0.002004008016032064,0.15342465753424658,0.0,125
0.0,0.0,0.0,0.0,0.0,50
0.5,0.0,0.004008016032064127,0.0,0.0,145
0.0,0.25,0.0,0.11232876712328767,0.0,90
0.5,0.25,0.008016032064128256,0.0,0.0,206
0.0,0.0,0.010020040080160319,0.010958904109589041,0.0,69
0.0,0.25,0.012024048096192383,0.3315068493150685,0.003067484662576687,80
0.0,0.0,0.018036072144288578,0.0,0.0,65
0.0,0.5,0.0,0.1315068493150685,0.003067484662576687,83
0.0,0.0,0.040080160320641274,0.0,0.0,110
0.5,0.0,0.004008016032064127,0.12602739726027398,0.024539877300613498,88
0.5,1.0,0.0,0.4904109589041096,0.0,150
0.0,0.25,0.002004008016032064,0.0,0.003067484662576687,55
0.5,0.25,0.0060120240480961915,0.0,0.0,110
0.0,0.25,0.01603206412825651,0.29863013698630136,0.006134969325153375,59
0.5,0.25,0.058116232464929855,0.23835616438356164,0.0,440
0.5,0.25,0.010020040080160319,0.1178082191780822,0.0,160
0.0,0.25,0.0,0.40821917808219177,0.006134969325153375,150
0.0,0.5,0.058116232464929855,0.6684931506849315,0.3128834355828221,33
0.0,0.25,0.0,0.7013698630136986,0.003067484662576687,95
0.0,0.25,0.0,0.9863013698630138,0.08895705521472393,199
0.5,0.0,0.018036072144288578,0.9561643835616438,0.0,75
1.0,0.25,0.038076152304609215,0.0,0.0,37
0.0,0.0,0.002004008016032064,0.0,0.0,75
0.5,0.0,0.002004008016032064,0.2410958904109589,0.0,190
0.0,0.0,0.002004008016032064,0.2821917808219178,0.0,96
0.0,0.0,0.0,0.9643835616438357,0.009202453987730062,40
0.5,0.0,0.002004008016032064,0.0,0.0,250
0.0,0.0,0.0,0.0,0.003067484662576687,50
0.0,0.25,0.0,0.9972602739726028,0.0,80
0.5,0.0,0.010020040080160319,0.8136986301369863,0.0,149
0.0,0.0,0.004008016032064127,0.0,0.0,63
0.5,0.25,0.008016032064128256,0.2493150684931507,0.0,167
0.5,1.0,0.008016032064128256,0.0,0.0,195
0.0,0.25,0.012024048096192383,0.0,0.0,37
0.5,0.25,0.008016032064128256,0.0,0.0,175
0.0,0.0,0.0,0.0,0.02147239263803681,45
0.5,0.25,0.0060120240480961915,0.0,0.0,130
0.0,0.0,0.008016032064128256,0.0,0.0,80
0.5,0.5,0.002004008016032064,0.9315068493150686,0.0,80
0.5,0.0,0.0,0.23287671232876714,0.012269938650306749,90
0.5,0.25,0.002004008016032064,0.0,0.0,300
0.5,0.25,0.004008016032064127,0.06027397260273973,0.0,350
0.0,0.25,0.004008016032064127,0.0,0.003067484662576687,165
0.5,0.25,0.0060120240480961915,0.0,0.0,200
0.0,0.25,0.0,0.0,0.0,75
0.5,0.25,0.0060120240480961915,0.057534246575342465,0.0,300
0.5,0.25,0.002004008016032064,0.26575342465753427,0.0,585
0.0,0.0,0.008016032064128256,0.3835616438356164,0.018404907975460124,71
0.5,0.25,0.002004008016032064,0.6931506849315069,0.0,250
0.0,0.0,0.002004008016032064,0.23835616438356164,0.0,60
0.0,0.25,0.008016032064128256,0.0,0.003067484662576687,120
0.0,0.0,0.010020040080160319,0.18082191780821918,0.006134969325153375,72
0.0,0.0,0.0,0.0,0.0,70
0.0,0.0,0.002004008016032064,0.27123287671232876,0.006134969325153375,38
0.0,0.5,0.0,0.0,0.0,40
0.0,0.5,0.0,0.04657534246575343,0.003067484662576687,40
0.0,0.0,0.0,0.2273972602739726,0.0,64
0.5,0.25,0.004008016032064127,0.0,0.0,150
0.5,0.25,0.0,0.9178082191780822,0.012269938650306749,200
0.5,0.25,0.012024048096192383,0.0,0.0,250
0.0,0.0,0.0,0.0,0.0,85
0.5,0.25,0.058116232464929855,0.3424657534246575,0.0,198
0.0,0.0,0.038076152304609215,0.852054794520548,0.0,65
0.0,0.0,0.058116232464929855,0.5671232876712329,0.006134969325153375,25
0.0,0.25,0.0,0.0,0.003067484662576687,120
0.5,0.0,0.008016032064128256,0.0,0.0,125
0.5,0.0,0.004008016032064127,0.810958904109589,0.0,102
0.0,0.0,0.004008016032064127,0.1315068493150685,0.0,70
0.0,0.0,0.002004008016032064,0.0027397260273972603,0.0,40
0.5,0.25,0.002004008016032064,0.4301369863013699,0.0,150
0.5,0.0,0.004008016032064127,0.0684931506849315,0.0,150
0.0,0.0,0.0,0.8054794520547945,0.0,75
0.0,0.25,0.0,0.9972602739726028,0.003067484662576687,109
0.5,0.25,0.0,0.0,0.0,80
0.0,1.0,0.008016032064128256,0.8794520547945206,0.009202453987730062,42
0.0,0.0,0.0,0.9616438356164384,0.009202453987730062,51
0.0,0.25,0.058116232464929855,0.10684931506849316,0.0,65
0.5,0.0,0.018036072144288578,0.0,0.0,250
0.0,0.0,0.004008016032064127,0.4904109589041096,0.0,43
0.5,0.25,0.058116232464929855,0.904109589041096,0.0736196319018405,190
0.5,0.25,0.012024048096192383,0.0,0.0,500
0.5,0.0,0.002004008016032064,0.0,0.0,150
0.5,0.5,0.002004008016032064,0.43561643835616437,0.003067484662576687,240
0.0,0.5,0.002004008016032064,0.17534246575342466,0.0,49
0.5,0.25,0.002004008016032064,0.06301369863013699,0.003067484662576687,99
0.0,0.0,0.0,0.057534246575342465,0.003067484662576687,65
0.0,0.25,0.0,0.0,0.0,78
0.0,0.0,0.002004008016032064,0.7808219178082192,0.018404907975460124,50
0.5,0.5,0.004008016032064127,0.0,0.0,179
0.5,0.25,0.058116232464929855,0.9068493150684932,0.024539877300613498,300
0.5,0.0,0.002004008016032064,0.0,0.0,200
0.5,0.0,0.004008016032064127,0.9123287671232877,0.0,185
0.0,0.25,0.002004008016032064,0.32054794520547947,0.006134969325153375,106
0.0,0.0,0.0060120240480961915,0.9013698630136986,0.0,52
0.5,0.0,0.002004008016032064,0.0,0.0,120
0.5,0.25,0.0,0.4821917808219178,0.0,175
0.5,0.25,0.0,0.06575342465753425,0.0,170
0.5,0.25,0.0,0.0,0.003067484662576687,800
0.0,0.5,0.0,0.4904109589041096,0.018404907975460124,56
0.0,0.0,0.0060120240480961915,0.5178082191780822,0.0,41
0.5,0.0,0.0,0.2958904109589041,0.0,117
0.5,0.25,0.1783567134268537,0.852054794520548,0.009202453987730062,175
0.5,0.5,0.004008016032064127,0.34794520547945207,0.0,90
0.5,0.25,0.058116232464929855,0.6602739726027397,0.11656441717791412,150
0.0,1.0,0.0,0.24383561643835616,0.0,40
0.5,0.5,0.002004008016032064,0.16164383561643836,0.0,188
1.0,0.0,0.0060120240480961915,0.2191780821917808,0.012269938650306749,25
0.0,0.5,0.0060120240480961915,0.7972602739726028,0.0,45
0.0,0.25,0.004008016032064127,1.0,0.0,150
0.0,0.0,0.0,0.9698630136986301,0.003067484662576687,40
0.5,0.5,0.004008016032064127,0.0,0.0,100
0.0,0.5,0.0,0.0,0.003067484662576687,33
0.0,0.5,0.002004008016032064,0.06575342465753425,0.0,80
0.5,0.0,0.004008016032064127,0.7945205479452054,0.0,100
0.0,0.5,0.002004008016032064,0.0,0.0,75
0.5,0.5,0.002004008016032064,0.736986301369863,0.0,160
0.0,0.0,0.0,0.0,0.0,42
0.0,0.0,0.002004008016032064,0.9972602739726028,0.006134969325153375,81
0.5,0.0,0.0060120240480961915,0.0,0.006134969325153375,98
0.5,0.0,0.002004008016032064,0.038356164383561646,0.0,120
0.0,0.0,0.002004008016032064,0.9232876712328767,0.012269938650306749,87
0.5,0.0,0.0,0.9643835616438357,0.0,450
0.0,0.25,0.002004008016032064,0.057534246575342465,0.0,150
0.0,0.25,0.004008016032064127,0.0,0.0,98
0.0,0.5,0.002004008016032064,0.9123287671232877,0.0,65
0.0,0.0,0.0,0.4301369863013699,0.0,55
0.5,0.0,0.004008016032064127,0.030136986301369864,0.0,94
0.5,0.25,0.004008016032064127,0.10684931506849316,0.0,170
0.0,1.0,0.0060120240480961915,0.40273972602739727,0.006134969325153375,42
0.5,0.25,0.004008016032064127,0.0,0.0,249
0.0,0.0,0.002004008016032064,0.1863013698630137,0.015337423312883437,55
0.0,0.25,0.0,0.4602739726027397,0.05828220858895705,99
0.5,0.25,0.002004008016032064,0.0,0.0,150
0.0,0.0,0.004008016032064127,0.8273972602739726,0.003067484662576687,65
0.0,0.0,0.0,1.0,0.006134969325153375,89
0.0,0.0,0.0,0.0,0.0,65
0.5,0.0,0.004008016032064127,0.09041095890410959,0.0,130
0.5,0.25,0.008016032064128256,0.0,0.0,125
0.0,0.25,0.002004008016032064,1.0,0.009202453987730062,140
0.5,0.0,0.0060120240480961915,0.03287671232876713,0.0,180
0.0,0.25,0.0,0.989041095890411,0.003067484662576687,500
0.0,0.0,0.002004008016032064,1.0,0.0,80
0.5,0.0,0.004008016032064127,0.26575342465753427,0.003067484662576687,550
0.5,0.25,0.008016032064128256,0.0,0.0,154
0.5,0.0,0.0,0.4876712328767123,0.0,199
0.5,0.25,0.002004008016032064,0.4136986301369863,0.0,200
0.5,0.25,0.0,0.0,0.0,100
0.0,0.25,0.002004008016032064,0.0,0.0,50
0.0,0.0,0.0,0.0,0.02147239263803681,40
0.5,0.0,0.004008016032064127,0.04657534246575343,0.0,250
0.0,0.0,0.002004008016032064,0.18904109589041096,0.0,85
0.5,0.0,0.010020040080160319,0.5534246575342466,0.0,100
0.5,0.0,0.012024048096192383,0.0,0.0,250
0.0,0.25,0.004008016032064127,0.0,0.003067484662576687,150
0.0,0.0,0.004008016032064127,0.0,0.0,50
0.0,0.5,0.0,0.8821917808219178,0.003067484662576687,55
0.5,0.5,0.008016032064128256,0.9589041095890412,0.0,100
0.0,0.0,0.0,0.9095890410958904,0.0,59
0.5,0.0,0.002004008016032064,0.0,0.003067484662576687,45
0.0,0.25,0.002004008016032064,0.9534246575342465,0.0,125
0.0,0.0,0.0,0.26575342465753427,0.0,70
0.0,0.25,0.0,0.4712328767123288,0.003067484662576687,62
0.5,0.25,0.002004008016032064,0.40821917808219177,0.0,196
0.0,0.5,0.0,0.24383561643835616,0.006134969325153375,50
0.5,0.25,0.004008016032064127,0.0,0.0,133
0.5,0.25,0.002004008016032064,0.18356164383561643,0.0,229
0.0,0.25,0.0,0.9123287671232877,0.027607361963190184,210
0.0,0.25,0.002004008016032064,0.0,0.0,100
0.5,0.25,0.004008016032064127,0.1315068493150685,0.0,199
0.5,0.25,0.058116232464929855,0.9945205479452055,0.0,374
0.0,0.25,0.0,0.0,0.0,45
0.5,0.25,0.026052104208416832,0.0,0.0,115
0.0,0.0,0.004008016032064127,0.0,0.0,60
0.5,0.25,0.058116232464929855,0.0,0.0,101
0.0,0.75,0.012024048096192383,0.9780821917808219,0.0,31
0.0,0.25,0.004008016032064127,0.038356164383561646,0.0,92
0.5,0.25,0.002004008016032064,0.005479452054794521,0.0,125
0.0,0.0,0.0,0.46301369863013697,0.018404907975460124,48
0.0,0.25,0.004008016032064127,0.0,0.003067484662576687,55
0.5,0.25,0.058116232464929855,0.8904109589041096,0.7085889570552147,446
0.0,0.25,0.0,0.12328767123287672,0.003067484662576687,100
1.0,0.0,0.0,0.0,0.0,50
0.5,0.0,0.05611222444889779,0.16164383561643836,0.0,155
0.0,0.25,0.35871743486973945,0.9068493150684932,0.006134969325153375,80
1.0,0.25,0.002004008016032064,0.8876712328767123,0.006134969325153375,44
0.0,0.0,0.012024048096192383,0.0,0.0,45
1.0,0.0,0.0,0.9260273972602739,0.015337423312883437,25
0.5,0.0,0.0060120240480961915,0.024657534246575342,0.0,153
0.5,0.0,0.012024048096192383,0.0410958904109589,0.0,119
0.5,0.0,0.002004008016032064,0.27945205479452057,0.0,165
0.5,0.5,0.002004008016032064,0.2219178082191781,0.0,95
0.5,0.0,0.0060120240480961915,0.0,0.0,250
0.5,0.0,0.004008016032064127,0.008219178082191782,0.0,100
0.5,0.25,0.002004008016032064,0.6876712328767123,0.0,600
0.5,0.0,0.002004008016032064,0.005479452054794521,0.0,73
0.5,0.25,0.0,0.09863013698630137,0.0,120
0.0,0.0,0.002004008016032064,0.6328767123287671,0.009202453987730062,36
0.0,0.25,0.0,0.0,0.0,80
0.5,0.0,0.004008016032064127,0.0,0.0,195
0.5,0.0,0.004008016032064127,0.0,0.0,100
1.0,0.5,0.004008016032064127,0.4876712328767123,0.0,40
0.5,0.0,0.002004008016032064,0.8931506849315068,0.0,140
0.5,0.0,0.026052104208416832,0.4849315068493151,0.0,120
0.0,0.5,0.0,0.019178082191780823,0.0,65
0.5,0.25,0.0060120240480961915,0.0,0.0,290
0.0,0.0,0.004008016032064127,0.0,0.0,45
0.5,0.0,0.004008016032064127,0.0,0.0,120
0.5,0.0,0.002004008016032064,0.0,0.0,150
0.0,1.0,0.004008016032064127,0.18904109589041096,0.009202453987730062,79
0.0,0.25,0.002004008016032064,0.0,0.0,150
0.5,0.5,0.004008016032064127,0.36712328767123287,0.0,67
0.5,0.0,0.002004008016032064,0.5726027397260274,0.0,89
0.5,0.25,0.058116232464929855,0.273972602739726,0.0,340
0.5,0.25,0.002004008016032064,0.873972602739726,1.0,236
0.5,0.0,0.002004008016032064,0.6657534246575343,0.006134969325153375,171
0.5,0.5,0.004008016032064127,0.9863013698630138,0.0,115
0.0,0.0,0.012024048096192383,0.9835616438356164,0.003067484662576687,75
0.0,0.0,0.002004008016032064,0.0,0.0,60
0.0,0.25,0.0,0.4904109589041096,0.03067484662576687,375
0.0,0.0,0.004008016032064127,0.0,0.0,90
0.5,0.0,0.004008016032064127,0.0,0.003067484662576687,140
0.0,0.0,0.010020040080160319,0.9068493150684932,0.0,90
0.5,0.0,0.0,0.3561643835616438,0.0,185
0.0,0.0,0.0,0.057534246575342465,0.0,64
0.0,0.5,0.004008016032064127,0.2054794520547945,0.003067484662576687,70
0.5,0.25,0.058116232464929855,0.3452054794520548,0.27607361963190186,175
0.0,0.25,0.0,0.7534246575342466,0.027607361963190184,135
0.5,0.25,0.008016032064128256,0.0,0.0,125
0.5,0.25,0.008016032064128256,0.8164383561643835,0.0,500
0.0,0.0,0.002004008016032064,0.0,0.0,116
0.0,0.0,0.012024048096192383,0.0,0.0,80
0.0,0.5,0.028056112224448898,0.0,0.0,30
0.5,0.5,0.008016032064128256,0.17534246575342466,0.003067484662576687,120
0.0,1.0,0.004008016032064127,0.6821917808219178,0.0,45
